File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biosample Age	Biological replicate(s)	Technical replicate	Read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	File download URL	Assembly	Platform
ENCFF739EJW	bed narrowPeak	peaks	ENCSR349JDH	ChIP-seq	EFO:0003971	MEL cell line	immortalized cell line	unknown	unknown	Mus musculus					TCF12-mouse	ENCAB545OKX	DNA					2014-12-08	ENCODE												657259	Michael Snyder, Stanford	df8eeb90d4aa2f3c816e28627c31d790	https://www.encodeproject.org/files/ENCFF739EJW/@@download/ENCFF739EJW.bed.gz	mm9	
ENCFF931NAC	bigBed narrowPeak	peaks	ENCSR349JDH	ChIP-seq	EFO:0003971	MEL cell line	immortalized cell line	unknown	unknown	Mus musculus					TCF12-mouse	ENCAB545OKX	DNA					2014-12-08	ENCODE											ENCFF739EJW	1422446	ENCODE Consortium	4dae1255b28aab81e4d09bf023864a95	https://www.encodeproject.org/files/ENCFF931NAC/@@download/ENCFF931NAC.bigBed	mm9	
ENCFF205UPE	fastq	reads	ENCSR135SWH	ChIP-seq	EFO:0003971	MEL cell line	immortalized cell line	unknown	unknown	Mus musculus					NRF1-mouse	ENCAB404FDH	DNA					2014-12-08	ENCODE					2	1		single-ended				652701041	Michael Snyder, Stanford	cf7d157dcf2af337659f344f720e902a	https://www.encodeproject.org/files/ENCFF205UPE/@@download/ENCFF205UPE.fastq.gz		
ENCFF845NFO	fastq	reads	ENCSR135SWH	ChIP-seq	EFO:0003971	MEL cell line	immortalized cell line	unknown	unknown	Mus musculus					NRF1-mouse	ENCAB404FDH	DNA					2014-12-08	ENCODE					1	1		single-ended				838164483	Michael Snyder, Stanford	8ca8d42db252c9c2ee8c49b402a0bd59	https://www.encodeproject.org/files/ENCFF845NFO/@@download/ENCFF845NFO.fastq.gz		
ENCFF846TAQ	bed narrowPeak	peaks	ENCSR135SWH	ChIP-seq	EFO:0003971	MEL cell line	immortalized cell line	unknown	unknown	Mus musculus					NRF1-mouse	ENCAB404FDH	DNA					2014-12-08	ENCODE												170634	Michael Snyder, Stanford	e99cdf49d17bddee8401c920a73f96df	https://www.encodeproject.org/files/ENCFF846TAQ/@@download/ENCFF846TAQ.bed.gz	mm9	
ENCFF440BSC	bam	alignments	ENCSR135SWH	ChIP-seq	EFO:0003971	MEL cell line	immortalized cell line	unknown	unknown	Mus musculus					NRF1-mouse	ENCAB404FDH	DNA					2014-12-08	ENCODE					1	1						551728866	Michael Snyder, Stanford	4187371152083522ce4e4a9106919d42	https://www.encodeproject.org/files/ENCFF440BSC/@@download/ENCFF440BSC.bam	mm9	
ENCFF931LLJ	bam	alignments	ENCSR135SWH	ChIP-seq	EFO:0003971	MEL cell line	immortalized cell line	unknown	unknown	Mus musculus					NRF1-mouse	ENCAB404FDH	DNA					2014-12-08	ENCODE					2	1						567728956	Michael Snyder, Stanford	5f9a6d35eeb6720b60d99efbfa85c143	https://www.encodeproject.org/files/ENCFF931LLJ/@@download/ENCFF931LLJ.bam	mm9	
ENCFF364LWZ	bigBed narrowPeak	peaks	ENCSR135SWH	ChIP-seq	EFO:0003971	MEL cell line	immortalized cell line	unknown	unknown	Mus musculus					NRF1-mouse	ENCAB404FDH	DNA					2014-12-08	ENCODE											ENCFF846TAQ	362563	ENCODE Consortium	ddc1fcd763c916741f4cd4665534413d	https://www.encodeproject.org/files/ENCFF364LWZ/@@download/ENCFF364LWZ.bigBed	mm9	
ENCFF163NKO	bam	alignments	ENCSR867SDZ	ChIP-seq	EFO:0003971	MEL cell line	immortalized cell line	unknown	unknown	Mus musculus					MEF2A-mouse	ENCAB192CRE	DNA					2014-12-08	ENCODE					1	1						358245111	Michael Snyder, Stanford	9006a88f5d9c6a3f29f6b68ccd3ffdd5	https://www.encodeproject.org/files/ENCFF163NKO/@@download/ENCFF163NKO.bam	mm9	
ENCFF423RCQ	fastq	reads	ENCSR867SDZ	ChIP-seq	EFO:0003971	MEL cell line	immortalized cell line	unknown	unknown	Mus musculus					MEF2A-mouse	ENCAB192CRE	DNA					2014-12-08	ENCODE					2	1		single-ended				893122499	Michael Snyder, Stanford	607c533c9a166ddeecd058c2d19ab404	https://www.encodeproject.org/files/ENCFF423RCQ/@@download/ENCFF423RCQ.fastq.gz		
ENCFF052OAN	bam	alignments	ENCSR867SDZ	ChIP-seq	EFO:0003971	MEL cell line	immortalized cell line	unknown	unknown	Mus musculus					MEF2A-mouse	ENCAB192CRE	DNA					2014-12-08	ENCODE					2	1						737114809	Michael Snyder, Stanford	8dec7af9ef2ceb5b81ad7b02cbcc8c5a	https://www.encodeproject.org/files/ENCFF052OAN/@@download/ENCFF052OAN.bam	mm9	
ENCFF139PSX	bed narrowPeak	peaks	ENCSR867SDZ	ChIP-seq	EFO:0003971	MEL cell line	immortalized cell line	unknown	unknown	Mus musculus					MEF2A-mouse	ENCAB192CRE	DNA					2014-12-08	ENCODE												33429	Michael Snyder, Stanford	37a6373db96489532393e3b237473b44	https://www.encodeproject.org/files/ENCFF139PSX/@@download/ENCFF139PSX.bed.gz	mm9	
ENCFF433FQJ	fastq	reads	ENCSR867SDZ	ChIP-seq	EFO:0003971	MEL cell line	immortalized cell line	unknown	unknown	Mus musculus					MEF2A-mouse	ENCAB192CRE	DNA					2014-12-08	ENCODE					1	1		single-ended				633473223	Michael Snyder, Stanford	3e49a5a2075545570f3a0c0d3c3c3e3a	https://www.encodeproject.org/files/ENCFF433FQJ/@@download/ENCFF433FQJ.fastq.gz		
ENCFF448YKU	bigBed narrowPeak	peaks	ENCSR867SDZ	ChIP-seq	EFO:0003971	MEL cell line	immortalized cell line	unknown	unknown	Mus musculus					MEF2A-mouse	ENCAB192CRE	DNA					2014-12-08	ENCODE											ENCFF139PSX	133202	ENCODE Consortium	2aa5d977cf0b8a35ed5d5ee1bc2393c7	https://www.encodeproject.org/files/ENCFF448YKU/@@download/ENCFF448YKU.bigBed	mm9	
ENCFF957RNI	bam	alignments	ENCSR033OWC	ChIP-seq	EFO:0003971	MEL cell line	immortalized cell line	unknown	unknown	Mus musculus					ELF1-mouse	ENCAB298BCY	DNA					2014-12-08	ENCODE					1	1						641319106	Michael Snyder, Stanford	81af377c6a23feefdb6376bb06b3db33	https://www.encodeproject.org/files/ENCFF957RNI/@@download/ENCFF957RNI.bam	mm9	
ENCFF538BMI	bam	alignments	ENCSR033OWC	ChIP-seq	EFO:0003971	MEL cell line	immortalized cell line	unknown	unknown	Mus musculus					ELF1-mouse	ENCAB298BCY	DNA					2014-12-08	ENCODE					2	1						790905836	Michael Snyder, Stanford	86654c2aeb670804dea1c0c1e74733e1	https://www.encodeproject.org/files/ENCFF538BMI/@@download/ENCFF538BMI.bam	mm9	
ENCFF445ZZT	bed narrowPeak	peaks	ENCSR033OWC	ChIP-seq	EFO:0003971	MEL cell line	immortalized cell line	unknown	unknown	Mus musculus					ELF1-mouse	ENCAB298BCY	DNA					2014-12-08	ENCODE												349168	Michael Snyder, Stanford	006f46000113d1435dfceaee083c5243	https://www.encodeproject.org/files/ENCFF445ZZT/@@download/ENCFF445ZZT.bed.gz	mm9	
ENCFF592ERV	fastq	reads	ENCSR033OWC	ChIP-seq	EFO:0003971	MEL cell line	immortalized cell line	unknown	unknown	Mus musculus					ELF1-mouse	ENCAB298BCY	DNA					2014-12-08	ENCODE					2	1		single-ended				845099169	Michael Snyder, Stanford	85320f303673650d550ad436f868b88d	https://www.encodeproject.org/files/ENCFF592ERV/@@download/ENCFF592ERV.fastq.gz		
ENCFF186NAS	fastq	reads	ENCSR033OWC	ChIP-seq	EFO:0003971	MEL cell line	immortalized cell line	unknown	unknown	Mus musculus					ELF1-mouse	ENCAB298BCY	DNA					2014-12-08	ENCODE					1	1		single-ended				746822664	Michael Snyder, Stanford	076cf403ab2c9574bcd6840a69e8629f	https://www.encodeproject.org/files/ENCFF186NAS/@@download/ENCFF186NAS.fastq.gz		
ENCFF292UDW	bigBed narrowPeak	peaks	ENCSR033OWC	ChIP-seq	EFO:0003971	MEL cell line	immortalized cell line	unknown	unknown	Mus musculus					ELF1-mouse	ENCAB298BCY	DNA					2014-12-08	ENCODE											ENCFF445ZZT	850102	ENCODE Consortium	d695dd06c31b4d57cf9c0b18cb4277d4	https://www.encodeproject.org/files/ENCFF292UDW/@@download/ENCFF292UDW.bigBed	mm9	
ENCFF435VYL	fastq	reads	ENCSR604XDL	ChIP-seq	NTR:0001510	ES-E14	stem cell	embryonic	male	Mus musculus					MAFK-mouse	ENCAB000AIJ	DNA					2014-12-08	ENCODE					1	1		single-ended				567589765	Michael Snyder, Stanford	459f6fe1b1819385f3e87febc337e42e	https://www.encodeproject.org/files/ENCFF435VYL/@@download/ENCFF435VYL.fastq.gz		
ENCFF706XAJ	bam	alignments	ENCSR604XDL	ChIP-seq	NTR:0001510	ES-E14	stem cell	embryonic	male	Mus musculus					MAFK-mouse	ENCAB000AIJ	DNA					2014-12-08	ENCODE					2	1						705051255	Michael Snyder, Stanford	39fb52be3f5af79593f8541a3b4d4a5d	https://www.encodeproject.org/files/ENCFF706XAJ/@@download/ENCFF706XAJ.bam	mm9	
ENCFF883ROD	bed narrowPeak	peaks	ENCSR604XDL	ChIP-seq	NTR:0001510	ES-E14	stem cell	embryonic	male	Mus musculus					MAFK-mouse	ENCAB000AIJ	DNA					2014-12-08	ENCODE												303973	Michael Snyder, Stanford	bf2332cce2ff315c93421cd344cefd10	https://www.encodeproject.org/files/ENCFF883ROD/@@download/ENCFF883ROD.bed.gz	mm9	
ENCFF274DXL	fastq	reads	ENCSR604XDL	ChIP-seq	NTR:0001510	ES-E14	stem cell	embryonic	male	Mus musculus					MAFK-mouse	ENCAB000AIJ	DNA					2014-12-08	ENCODE					2	1		single-ended				998637992	Michael Snyder, Stanford	634f9df0dd9a88c1de1725eab096b5fa	https://www.encodeproject.org/files/ENCFF274DXL/@@download/ENCFF274DXL.fastq.gz		
ENCFF343FQU	bam	alignments	ENCSR604XDL	ChIP-seq	NTR:0001510	ES-E14	stem cell	embryonic	male	Mus musculus					MAFK-mouse	ENCAB000AIJ	DNA					2014-12-08	ENCODE					1	1						429395036	Michael Snyder, Stanford	0fc9e9fd17904d01e6838cb1f6c1d29d	https://www.encodeproject.org/files/ENCFF343FQU/@@download/ENCFF343FQU.bam	mm9	
ENCFF174KDI	bigBed narrowPeak	peaks	ENCSR604XDL	ChIP-seq	NTR:0001510	ES-E14	stem cell	embryonic	male	Mus musculus					MAFK-mouse	ENCAB000AIJ	DNA					2014-12-08	ENCODE											ENCFF883ROD	691326	ENCODE Consortium	94e8fd45fabd06bc06e32779e2f2f63f	https://www.encodeproject.org/files/ENCFF174KDI/@@download/ENCFF174KDI.bigBed	mm9	
ENCFF529HKW	fastq	reads	ENCSR531HWD	ChIP-seq	NTR:0001510	ES-E14	stem cell	embryonic	male	Mus musculus					CHD2-mouse	ENCAB308NAN	DNA					2014-12-08	ENCODE					2	1		single-ended				814257699	Michael Snyder, Stanford	7c9995a3788521b417a445a7ae4b07a4	https://www.encodeproject.org/files/ENCFF529HKW/@@download/ENCFF529HKW.fastq.gz		
ENCFF819NZN	bam	alignments	ENCSR531HWD	ChIP-seq	NTR:0001510	ES-E14	stem cell	embryonic	male	Mus musculus					CHD2-mouse	ENCAB308NAN	DNA					2014-12-08	ENCODE					1	1						999752762	Michael Snyder, Stanford	7a77cd8f7a9ee318cb5755f52cc94131	https://www.encodeproject.org/files/ENCFF819NZN/@@download/ENCFF819NZN.bam	mm9	
ENCFF530LPO	bed narrowPeak	peaks	ENCSR531HWD	ChIP-seq	NTR:0001510	ES-E14	stem cell	embryonic	male	Mus musculus					CHD2-mouse	ENCAB308NAN	DNA					2014-12-08	ENCODE												118691	Michael Snyder, Stanford	6de636631da2e8eacd3549f7a9f8cd8a	https://www.encodeproject.org/files/ENCFF530LPO/@@download/ENCFF530LPO.bed.gz	mm9	
ENCFF208VKG	bam	alignments	ENCSR531HWD	ChIP-seq	NTR:0001510	ES-E14	stem cell	embryonic	male	Mus musculus					CHD2-mouse	ENCAB308NAN	DNA					2014-12-08	ENCODE					2	1						677279961	Michael Snyder, Stanford	620f705525b19f6d6bfe5be9c0fb8671	https://www.encodeproject.org/files/ENCFF208VKG/@@download/ENCFF208VKG.bam	mm9	
ENCFF254ZVV	fastq	reads	ENCSR531HWD	ChIP-seq	NTR:0001510	ES-E14	stem cell	embryonic	male	Mus musculus					CHD2-mouse	ENCAB308NAN	DNA					2014-12-08	ENCODE					1	1		single-ended				1199139199	Michael Snyder, Stanford	957dbdca3716f4959c5a102ae5e31a00	https://www.encodeproject.org/files/ENCFF254ZVV/@@download/ENCFF254ZVV.fastq.gz		
ENCFF154HRN	bigBed narrowPeak	peaks	ENCSR531HWD	ChIP-seq	NTR:0001510	ES-E14	stem cell	embryonic	male	Mus musculus					CHD2-mouse	ENCAB308NAN	DNA					2014-12-08	ENCODE											ENCFF530LPO	319426	ENCODE Consortium	23eccd8dccf7af8f9ef78e75275ecfed	https://www.encodeproject.org/files/ENCFF154HRN/@@download/ENCFF154HRN.bigBed	mm9	
ENCFF654AKM	fastq	reads	ENCSR973SOG	ChIP-seq	EFO:0005233	CH12.LX	immortalized cell line	unknown	female	Mus musculus					USF1-mouse	ENCAB070KUB	DNA					2014-12-08	ENCODE					2	1		single-ended				666784504	Michael Snyder, Stanford	071078533b597fe19dde57d894eefe5d	https://www.encodeproject.org/files/ENCFF654AKM/@@download/ENCFF654AKM.fastq.gz		
ENCFF982TNR	bam	alignments	ENCSR973SOG	ChIP-seq	EFO:0005233	CH12.LX	immortalized cell line	unknown	female	Mus musculus					USF1-mouse	ENCAB070KUB	DNA					2014-12-08	ENCODE					1	1						663735865	Michael Snyder, Stanford	125c75e7753062e3c0b9d0d4414f6fc1	https://www.encodeproject.org/files/ENCFF982TNR/@@download/ENCFF982TNR.bam	mm9	
ENCFF996YQZ	bed narrowPeak	peaks	ENCSR973SOG	ChIP-seq	EFO:0005233	CH12.LX	immortalized cell line	unknown	female	Mus musculus					USF1-mouse	ENCAB070KUB	DNA					2014-12-08	ENCODE												275556	Michael Snyder, Stanford	db911ded34d545de34bc48d4b3351d2e	https://www.encodeproject.org/files/ENCFF996YQZ/@@download/ENCFF996YQZ.bed.gz	mm9	
ENCFF125CLY	fastq	reads	ENCSR973SOG	ChIP-seq	EFO:0005233	CH12.LX	immortalized cell line	unknown	female	Mus musculus					USF1-mouse	ENCAB070KUB	DNA					2014-12-08	ENCODE					1	1		single-ended				625024634	Michael Snyder, Stanford	4196967234d2ae7911797d9ca50fcd08	https://www.encodeproject.org/files/ENCFF125CLY/@@download/ENCFF125CLY.fastq.gz		
ENCFF251NRS	bam	alignments	ENCSR973SOG	ChIP-seq	EFO:0005233	CH12.LX	immortalized cell line	unknown	female	Mus musculus					USF1-mouse	ENCAB070KUB	DNA					2014-12-08	ENCODE					2	1						665994673	Michael Snyder, Stanford	05852df717b63ad0a79627a4b70a3521	https://www.encodeproject.org/files/ENCFF251NRS/@@download/ENCFF251NRS.bam	mm9	
ENCFF138CKI	bigBed narrowPeak	peaks	ENCSR973SOG	ChIP-seq	EFO:0005233	CH12.LX	immortalized cell line	unknown	female	Mus musculus					USF1-mouse	ENCAB070KUB	DNA					2014-12-08	ENCODE											ENCFF996YQZ	601962	ENCODE Consortium	b737c9b5922b7af8a156978329b5e553	https://www.encodeproject.org/files/ENCFF138CKI/@@download/ENCFF138CKI.bigBed	mm9	
ENCFF537ACV	fastq	reads	ENCSR906QEK	ChIP-seq	EFO:0005233	CH12.LX	immortalized cell line	unknown	female	Mus musculus					TCF12-mouse	ENCAB545OKX	DNA					2014-12-08	ENCODE					1	1		single-ended				752589282	Michael Snyder, Stanford	94aeacafd015e30a03a20970875448d2	https://www.encodeproject.org/files/ENCFF537ACV/@@download/ENCFF537ACV.fastq.gz		
ENCFF453MVP	fastq	reads	ENCSR906QEK	ChIP-seq	EFO:0005233	CH12.LX	immortalized cell line	unknown	female	Mus musculus					TCF12-mouse	ENCAB545OKX	DNA					2014-12-08	ENCODE					2	1		single-ended				489295777	Michael Snyder, Stanford	1e4e4879547294300ca75acbf35e6b64	https://www.encodeproject.org/files/ENCFF453MVP/@@download/ENCFF453MVP.fastq.gz		
ENCFF847YWU	bed narrowPeak	peaks	ENCSR906QEK	ChIP-seq	EFO:0005233	CH12.LX	immortalized cell line	unknown	female	Mus musculus					TCF12-mouse	ENCAB545OKX	DNA					2014-12-08	ENCODE												622607	Michael Snyder, Stanford	b9ba3986bb7e4afb5f54048a1f08c0a8	https://www.encodeproject.org/files/ENCFF847YWU/@@download/ENCFF847YWU.bed.gz	mm9	
ENCFF501VIR	bam	alignments	ENCSR906QEK	ChIP-seq	EFO:0005233	CH12.LX	immortalized cell line	unknown	female	Mus musculus					TCF12-mouse	ENCAB545OKX	DNA					2014-12-08	ENCODE					1	1						742859506	Michael Snyder, Stanford	7fb635f3ea24fc22c68e5a97ff0b829b	https://www.encodeproject.org/files/ENCFF501VIR/@@download/ENCFF501VIR.bam	mm9	
ENCFF887OHE	bam	alignments	ENCSR906QEK	ChIP-seq	EFO:0005233	CH12.LX	immortalized cell line	unknown	female	Mus musculus					TCF12-mouse	ENCAB545OKX	DNA					2014-12-08	ENCODE					2	1						477824062	Michael Snyder, Stanford	5f7a6e57c2549fade292f5626d8352a8	https://www.encodeproject.org/files/ENCFF887OHE/@@download/ENCFF887OHE.bam	mm9	
ENCFF741VWN	bigBed narrowPeak	peaks	ENCSR906QEK	ChIP-seq	EFO:0005233	CH12.LX	immortalized cell line	unknown	female	Mus musculus					TCF12-mouse	ENCAB545OKX	DNA					2014-12-08	ENCODE											ENCFF847YWU	1256417	ENCODE Consortium	bc638b0ebfee492d0dca9fa865205327	https://www.encodeproject.org/files/ENCFF741VWN/@@download/ENCFF741VWN.bigBed	mm9	
ENCFF381HVY	fastq	reads	ENCSR980YXJ	ChIP-seq	EFO:0005233	CH12.LX	immortalized cell line	unknown	female	Mus musculus					NRF1-mouse	ENCAB404FDH	DNA					2014-12-08	ENCODE					1	1		single-ended				792491525	Michael Snyder, Stanford	531595711b5ba4b28bbabcadff505430	https://www.encodeproject.org/files/ENCFF381HVY/@@download/ENCFF381HVY.fastq.gz		
ENCFF889MSI	bam	alignments	ENCSR980YXJ	ChIP-seq	EFO:0005233	CH12.LX	immortalized cell line	unknown	female	Mus musculus					NRF1-mouse	ENCAB404FDH	DNA					2014-12-08	ENCODE					1	1						685453338	Michael Snyder, Stanford	73ab4a485d3098ede07fb8716cf0136b	https://www.encodeproject.org/files/ENCFF889MSI/@@download/ENCFF889MSI.bam	mm9	
ENCFF986XRF	fastq	reads	ENCSR980YXJ	ChIP-seq	EFO:0005233	CH12.LX	immortalized cell line	unknown	female	Mus musculus					NRF1-mouse	ENCAB404FDH	DNA					2014-12-08	ENCODE					2	1		single-ended				861478492	Michael Snyder, Stanford	4bceb508e3ba4375c50b99937d4f3c04	https://www.encodeproject.org/files/ENCFF986XRF/@@download/ENCFF986XRF.fastq.gz		
ENCFF570ABH	bam	alignments	ENCSR980YXJ	ChIP-seq	EFO:0005233	CH12.LX	immortalized cell line	unknown	female	Mus musculus					NRF1-mouse	ENCAB404FDH	DNA					2014-12-08	ENCODE					2	1						707259040	Michael Snyder, Stanford	2823b1a8daef38fa80d8359bbadb10a3	https://www.encodeproject.org/files/ENCFF570ABH/@@download/ENCFF570ABH.bam	mm9	
ENCFF439VGN	bed narrowPeak	peaks	ENCSR980YXJ	ChIP-seq	EFO:0005233	CH12.LX	immortalized cell line	unknown	female	Mus musculus					NRF1-mouse	ENCAB404FDH	DNA					2014-12-08	ENCODE												278145	Michael Snyder, Stanford	33dcf7a9e37f913b47364966c809e803	https://www.encodeproject.org/files/ENCFF439VGN/@@download/ENCFF439VGN.bed.gz	mm9	
ENCFF752TEK	bigBed narrowPeak	peaks	ENCSR980YXJ	ChIP-seq	EFO:0005233	CH12.LX	immortalized cell line	unknown	female	Mus musculus					NRF1-mouse	ENCAB404FDH	DNA					2014-12-08	ENCODE											ENCFF439VGN	615167	ENCODE Consortium	b249e1fbc39aad963571c916e687896a	https://www.encodeproject.org/files/ENCFF752TEK/@@download/ENCFF752TEK.bigBed	mm9	
ENCFF443PSH	fastq	reads	ENCSR806JZK	ChIP-seq	EFO:0005233	CH12.LX	immortalized cell line	unknown	female	Mus musculus					MEF2A-mouse	ENCAB192CRE	DNA					2014-12-08	ENCODE					1	1		single-ended				674211387	Michael Snyder, Stanford	647e898a97f962f7011fa0cbaffcfac8	https://www.encodeproject.org/files/ENCFF443PSH/@@download/ENCFF443PSH.fastq.gz		
ENCFF319ABF	fastq	reads	ENCSR806JZK	ChIP-seq	EFO:0005233	CH12.LX	immortalized cell line	unknown	female	Mus musculus					MEF2A-mouse	ENCAB192CRE	DNA					2014-12-08	ENCODE					2	1		single-ended				834889750	Michael Snyder, Stanford	b5445b379112081796497099f3836cce	https://www.encodeproject.org/files/ENCFF319ABF/@@download/ENCFF319ABF.fastq.gz		
ENCFF052XAJ	bam	alignments	ENCSR806JZK	ChIP-seq	EFO:0005233	CH12.LX	immortalized cell line	unknown	female	Mus musculus					MEF2A-mouse	ENCAB192CRE	DNA					2014-12-08	ENCODE					1	1						656932299	Michael Snyder, Stanford	8dfe1b7f8e0bdf8130ada1b19d80a3f2	https://www.encodeproject.org/files/ENCFF052XAJ/@@download/ENCFF052XAJ.bam	mm9	
ENCFF540GGK	bam	alignments	ENCSR806JZK	ChIP-seq	EFO:0005233	CH12.LX	immortalized cell line	unknown	female	Mus musculus					MEF2A-mouse	ENCAB192CRE	DNA					2014-12-08	ENCODE					2	1						800635962	Michael Snyder, Stanford	ab78c5c8ccd736ebba54fb0a3b4a4e75	https://www.encodeproject.org/files/ENCFF540GGK/@@download/ENCFF540GGK.bam	mm9	
ENCFF148PLM	bed narrowPeak	peaks	ENCSR806JZK	ChIP-seq	EFO:0005233	CH12.LX	immortalized cell line	unknown	female	Mus musculus					MEF2A-mouse	ENCAB192CRE	DNA					2014-12-08	ENCODE												445416	Michael Snyder, Stanford	3d702a20f7ea9a049940e9064bea01dd	https://www.encodeproject.org/files/ENCFF148PLM/@@download/ENCFF148PLM.bed.gz	mm9	
ENCFF259NQC	bigBed narrowPeak	peaks	ENCSR806JZK	ChIP-seq	EFO:0005233	CH12.LX	immortalized cell line	unknown	female	Mus musculus					MEF2A-mouse	ENCAB192CRE	DNA					2014-12-08	ENCODE											ENCFF148PLM	950646	ENCODE Consortium	f8503c319c9f68c6ff3d7257d889c6b3	https://www.encodeproject.org/files/ENCFF259NQC/@@download/ENCFF259NQC.bigBed	mm9	
