File accession	Output type	Biosample term name	Biosample term id	Experiment target	Biosample sex	Assembly	File download URL	md5sum	Paired with	Technical replicate	Biological replicate(s)
ENCFF001XGM	peaks	K562	EFO:0002067	H3K27me3-human	female	hg19	https://www.encodeproject.org/files/ENCFF001XGM/@@download/ENCFF001XGM.bed.gz	548c7a733ac18e9b716b351d1868f127	NA	1	1
ENCFF001XGN	peaks	K562	EFO:0002067	H3K27me3-human	female	hg19	https://www.encodeproject.org/files/ENCFF001XGN/@@download/ENCFF001XGN.bed.gz	a56bf1a06307c81af8596f8eb43f684b	NA	1	2
ENCFF001HTN	raw signal	K562	EFO:0002067	Control-human	female	hg19	https://www.encodeproject.org/files/ENCFF001HTN/@@download/ENCFF001HTN.bigWig	171d60dcfd75ec4e646532c6688a1ef3	NA	1	1
ENCFF000XVO	signal	HepG2	EFO:0001187	EP300-human	male	hg19	https://www.encodeproject.org/files/ENCFF000XVO/@@download/ENCFF000XVO.bigWig	d4c5579e9c5946d50c157ba502e934f0	NA	NA	NA
ENCFF001VKQ	peaks	HepG2	EFO:0001187	EP300-human	male	hg19	https://www.encodeproject.org/files/ENCFF001VKQ/@@download/ENCFF001VKQ.bed.gz	04470fbb0ce8e016739920216e6751bd	NA	NA	NA
ENCFF001FLR	raw signal	HepG2	EFO:0001187	H3K36me3-human	male	hg19	https://www.encodeproject.org/files/ENCFF001FLR/@@download/ENCFF001FLR.bigWig	29116f3e0a47e52ebf4d357402a22f6e	NA	1	1
ENCFF001FLS	raw signal	HepG2	EFO:0001187	H3K36me3-human	male	hg19	https://www.encodeproject.org/files/ENCFF001FLS/@@download/ENCFF001FLS.bigWig	99baeb8624d56d92887837711f10bf5f	NA	1	2
ENCFF001XCZ	peaks	HepG2	EFO:0001187	H3K36me3-human	male	hg19	https://www.encodeproject.org/files/ENCFF001XCZ/@@download/ENCFF001XCZ.bed.gz	a33ef44a76d60d6b29cbbe17e978cc72	NA	1	1
ENCFF001XDA	peaks	HepG2	EFO:0001187	H3K36me3-human	male	hg19	https://www.encodeproject.org/files/ENCFF001XDA/@@download/ENCFF001XDA.bed.gz	bd0fc51adc7ba0e6481d81f8a817814f	NA	1	2
ENCFF000VUF	signal	GM12878	EFO:0002784	CTCF-human	female	hg19	https://www.encodeproject.org/files/ENCFF000VUF/@@download/ENCFF000VUF.bigWig	d806bfbb7d266c4a66bee9219551bbcb	NA	NA	NA
ENCFF001VED	peaks	GM12878	EFO:0002784	CTCF-human	female	hg19	https://www.encodeproject.org/files/ENCFF001VED/@@download/ENCFF001VED.bed.gz	516f23be901386790d57744858feb099	NA	NA	NA
ENCFF000VDK	signal	K562	EFO:0002067	H3K4me1-human	female	hg19	https://www.encodeproject.org/files/ENCFF000VDK/@@download/ENCFF000VDK.bigWig	aab5c2e0b2ec10cc89bb706d7e7161b7	NA	NA	NA
ENCFF001VCQ	peaks	K562	EFO:0002067	H3K4me1-human	female	hg19	https://www.encodeproject.org/files/ENCFF001VCQ/@@download/ENCFF001VCQ.bed.gz	8664dfcb4d4d7fc30f05b0b71d7bed49	NA	NA	NA
ENCFF000VDE	signal	K562	EFO:0002067	H3K27me3-human	female	hg19	https://www.encodeproject.org/files/ENCFF000VDE/@@download/ENCFF000VDE.bigWig	07986c25585e8f867aaed33f9a55d12a	NA	NA	NA
ENCFF001VCP	peaks	K562	EFO:0002067	H3K27me3-human	female	hg19	https://www.encodeproject.org/files/ENCFF001VCP/@@download/ENCFF001VCP.bed.gz	f6617bce31addd03fb9ad1307fb70128	NA	NA	NA
ENCFF000VDQ	signal	K562	EFO:0002067	H3K4me3-human	female	hg19	https://www.encodeproject.org/files/ENCFF000VDQ/@@download/ENCFF000VDQ.bigWig	8f6e3296c4fa702878987e71278ee82a	NA	NA	NA
ENCFF001VCR	peaks	K562	EFO:0002067	H3K4me3-human	female	hg19	https://www.encodeproject.org/files/ENCFF001VCR/@@download/ENCFF001VCR.bed.gz	dad2b246ea317d2b49316952132b480e	NA	NA	NA
ENCFF000VDZ	signal	K562	EFO:0002067	Control-human	female	hg19	https://www.encodeproject.org/files/ENCFF000VDZ/@@download/ENCFF000VDZ.bigWig	a3587534e1b7cabc939f95230896ab8e	NA	NA	NA
ENCFF000WBU	signal	GM12878	EFO:0002784	POLR2A-human	female	hg19	https://www.encodeproject.org/files/ENCFF000WBU/@@download/ENCFF000WBU.bigWig	3d8773c82debcdfad9bc0f4e2c1542a4	NA	NA	NA
ENCFF001VFA	peaks	GM12878	EFO:0002784	POLR2A-human	female	hg19	https://www.encodeproject.org/files/ENCFF001VFA/@@download/ENCFF001VFA.bed.gz	b4f62eb38ce26a32b3b1eb1fdbae0f2d	NA	NA	NA
ENCFF000XSC	signal	HepG2	EFO:0001187	Control-human	male	hg19	https://www.encodeproject.org/files/ENCFF000XSC/@@download/ENCFF000XSC.bigWig	28841bc5a8353b5f63f343a51ca615fd	NA	NA	NA
ENCFF000XSQ	signal	HepG2	EFO:0001187	Control-human	male	hg19	https://www.encodeproject.org/files/ENCFF000XSQ/@@download/ENCFF000XSQ.bigWig	19195f937505fd39abaa8fe7583aa813	NA	NA	NA
ENCFF000XWH	signal	HepG2	EFO:0001187	POLR2A-human	male	hg19	https://www.encodeproject.org/files/ENCFF000XWH/@@download/ENCFF000XWH.bigWig	f7114cc0f62a7245b978b306d494ad1d	NA	NA	NA
ENCFF001VKT	peaks	HepG2	EFO:0001187	POLR2A-human	male	hg19	https://www.encodeproject.org/files/ENCFF001VKT/@@download/ENCFF001VKT.bed.gz	88d3d67944fd3c139fc860c097be8c71	NA	NA	NA
ENCFF001EXN	raw signal	GM12878	EFO:0002784	H3K36me3-human	female	hg19	https://www.encodeproject.org/files/ENCFF001EXN/@@download/ENCFF001EXN.bigWig	ff7ba7f2f24fd96c3be0b3bdfce1d40d	NA	1	1
ENCFF001EXP	raw signal	GM12878	EFO:0002784	H3K36me3-human	female	hg19	https://www.encodeproject.org/files/ENCFF001EXP/@@download/ENCFF001EXP.bigWig	b904dfce2ecb1afe36b479517d4601c8	NA	1	2
ENCFF001WYG	peaks	GM12878	EFO:0002784	H3K36me3-human	female	hg19	https://www.encodeproject.org/files/ENCFF001WYG/@@download/ENCFF001WYG.bed.gz	c8594f80d621264f0ad714d7f45d1270	NA	1	1
ENCFF001WYI	peaks	GM12878	EFO:0002784	H3K36me3-human	female	hg19	https://www.encodeproject.org/files/ENCFF001WYI/@@download/ENCFF001WYI.bed.gz	bd444de0769239f45e9ca3c53d59b5b5	NA	1	2
ENCFF000XSX	signal	HepG2	EFO:0001187	Control-human	male	hg19	https://www.encodeproject.org/files/ENCFF000XSX/@@download/ENCFF000XSX.bigWig	7c9e5a99d59426fa82bc2b6f961ed083	NA	NA	NA
ENCFF000XWB	signal	HepG2	EFO:0001187	POLR2A-human	male	hg19	https://www.encodeproject.org/files/ENCFF000XWB/@@download/ENCFF000XWB.bigWig	af45c52b3c1d2e4949ef8d50de51c837	NA	NA	NA
ENCFF001VKS	peaks	HepG2	EFO:0001187	POLR2A-human	male	hg19	https://www.encodeproject.org/files/ENCFF001VKS/@@download/ENCFF001VKS.bed.gz	b8e66bf6d7770eb2e827523dff0c0422	NA	NA	NA
ENCFF001FWU	raw signal	K562	EFO:0002067	H3K4me3-human	female	hg19	https://www.encodeproject.org/files/ENCFF001FWU/@@download/ENCFF001FWU.bigWig	4ffd34d9c36655bd02f3daa48edf564e	NA	1	1
ENCFF001FWX	raw signal	K562	EFO:0002067	H3K4me3-human	female	hg19	https://www.encodeproject.org/files/ENCFF001FWX/@@download/ENCFF001FWX.bigWig	76706bd5cdc6ad8e6073fb78442f9593	NA	1	2
ENCFF001XGV	peaks	K562	EFO:0002067	H3K4me3-human	female	hg19	https://www.encodeproject.org/files/ENCFF001XGV/@@download/ENCFF001XGV.bed.gz	a33537cc1834d1d15c4f0c1eefd13ec3	NA	1	1
ENCFF001XGW	peaks	K562	EFO:0002067	H3K4me3-human	female	hg19	https://www.encodeproject.org/files/ENCFF001XGW/@@download/ENCFF001XGW.bed.gz	576dbb558e807a6511feff478d4ba3f9	NA	1	2
ENCFF001HTI	raw signal	K562	EFO:0002067	CTCF-human	female	hg19	https://www.encodeproject.org/files/ENCFF001HTI/@@download/ENCFF001HTI.bigWig	0290f47c68f51e4cfb256fb752cf3859	NA	1	1
ENCFF001HTL	raw signal	K562	EFO:0002067	CTCF-human	female	hg19	https://www.encodeproject.org/files/ENCFF001HTL/@@download/ENCFF001HTL.bigWig	808fadd7b9494f469cd3c780fab77ee4	NA	1	2
ENCFF001XST	peaks	K562	EFO:0002067	CTCF-human	female	hg19	https://www.encodeproject.org/files/ENCFF001XST/@@download/ENCFF001XST.bed.gz	e8332ac71efe7497fe88b557ce628c9c	NA	1	1
ENCFF001XSU	peaks	K562	EFO:0002067	CTCF-human	female	hg19	https://www.encodeproject.org/files/ENCFF001XSU/@@download/ENCFF001XSU.bed.gz	ac9eb0f49655b416b767f25be87d0f8b	NA	1	2
ENCFF001FLH	raw signal	HepG2	EFO:0001187	H3K27me3-human	male	hg19	https://www.encodeproject.org/files/ENCFF001FLH/@@download/ENCFF001FLH.bigWig	1ddfaa9da6cffdef6788871f6bcaad94	NA	1	1
ENCFF001FLI	raw signal	HepG2	EFO:0001187	H3K27me3-human	male	hg19	https://www.encodeproject.org/files/ENCFF001FLI/@@download/ENCFF001FLI.bigWig	260ad86fa1132e6cf26f19b0d3d12520	NA	1	2
ENCFF001XCU	peaks	HepG2	EFO:0001187	H3K27me3-human	male	hg19	https://www.encodeproject.org/files/ENCFF001XCU/@@download/ENCFF001XCU.bed.gz	32fd069198e9b0e1d387dacd49045abd	NA	1	1
ENCFF001XCV	peaks	HepG2	EFO:0001187	H3K27me3-human	male	hg19	https://www.encodeproject.org/files/ENCFF001XCV/@@download/ENCFF001XCV.bed.gz	64a69597db00c8bbc7858ec6b97c300f	NA	1	2
ENCFF001EXX	raw signal	GM12878	EFO:0002784	H3K4me3-human	female	hg19	https://www.encodeproject.org/files/ENCFF001EXX/@@download/ENCFF001EXX.bigWig	47a8f95126e8629366c03438653c0398	NA	1	1
ENCFF001EXZ	raw signal	GM12878	EFO:0002784	H3K4me3-human	female	hg19	https://www.encodeproject.org/files/ENCFF001EXZ/@@download/ENCFF001EXZ.bigWig	e76960544902fb70c9bd83449d35253f	NA	1	2
ENCFF001WYL	peaks	GM12878	EFO:0002784	H3K4me3-human	female	hg19	https://www.encodeproject.org/files/ENCFF001WYL/@@download/ENCFF001WYL.bed.gz	543c1f24869538ce05f705733fdd443b	NA	1	1
ENCFF001WYM	peaks	GM12878	EFO:0002784	H3K4me3-human	female	hg19	https://www.encodeproject.org/files/ENCFF001WYM/@@download/ENCFF001WYM.bed.gz	ed1ebd79b14a7af67cd2360e25649628	NA	1	2
ENCFF001EXC	raw signal	GM12878	EFO:0002784	H3K27me3-human	female	hg19	https://www.encodeproject.org/files/ENCFF001EXC/@@download/ENCFF001EXC.bigWig	e0c2dbf0f9972a27cbfa91f6b7e8f11b	NA	1	1
ENCFF001EXD	raw signal	GM12878	EFO:0002784	H3K27me3-human	female	hg19	https://www.encodeproject.org/files/ENCFF001EXD/@@download/ENCFF001EXD.bigWig	4efe0a8f7a3b13f99c67fcea7de9be81	NA	1	2
ENCFF001WYC	peaks	GM12878	EFO:0002784	H3K27me3-human	female	hg19	https://www.encodeproject.org/files/ENCFF001WYC/@@download/ENCFF001WYC.bed.gz	9600204146db9e8ce88e0ff7ff04bf1e	NA	1	1
ENCFF001WYD	peaks	GM12878	EFO:0002784	H3K27me3-human	female	hg19	https://www.encodeproject.org/files/ENCFF001WYD/@@download/ENCFF001WYD.bed.gz	7d119e5aa92ddf2b6f815874c84e8160	NA	1	2
ENCFF001HHT	raw signal	GM12878	EFO:0002784	CTCF-human	female	hg19	https://www.encodeproject.org/files/ENCFF001HHT/@@download/ENCFF001HHT.bigWig	8168210048a5192e2e06bc4fa9a8e4b3	NA	1	1
ENCFF001HHV	raw signal	GM12878	EFO:0002784	CTCF-human	female	hg19	https://www.encodeproject.org/files/ENCFF001HHV/@@download/ENCFF001HHV.bigWig	da7a1e071607547b403f86feac3b499f	NA	1	2
ENCFF001XPL	peaks	GM12878	EFO:0002784	CTCF-human	female	hg19	https://www.encodeproject.org/files/ENCFF001XPL/@@download/ENCFF001XPL.bed.gz	05c13c8ad1f8447216514287c9a8cbf9	NA	1	1
ENCFF001XPM	peaks	GM12878	EFO:0002784	CTCF-human	female	hg19	https://www.encodeproject.org/files/ENCFF001XPM/@@download/ENCFF001XPM.bed.gz	db6a022f65cca2f4255919a9a665af29	NA	1	2
ENCFF001HHY	raw signal	GM12878	EFO:0002784	Control-human	female	hg19	https://www.encodeproject.org/files/ENCFF001HHY/@@download/ENCFF001HHY.bigWig	2bab158907708d385774810cfdc727dc	NA	1	1
ENCFF000YVX	signal	K562	EFO:0002067	EP300-human	female	hg19	https://www.encodeproject.org/files/ENCFF000YVX/@@download/ENCFF000YVX.bigWig	ef6983ae1dddb463f5bf79d2da56c091	NA	NA	NA
ENCFF001VOB	peaks	K562	EFO:0002067	EP300-human	female	hg19	https://www.encodeproject.org/files/ENCFF001VOB/@@download/ENCFF001VOB.bed.gz	882d3a365a7eb97c3e086b11f094aa3a	NA	NA	NA
ENCFF000YVQ	signal	K562	EFO:0002067	EP300-human	female	hg19	https://www.encodeproject.org/files/ENCFF000YVQ/@@download/ENCFF000YVQ.bigWig	3d0cdd83b8e548279cf55542a900cbe7	NA	NA	NA
ENCFF001VOC	peaks	K562	EFO:0002067	EP300-human	female	hg19	https://www.encodeproject.org/files/ENCFF001VOC/@@download/ENCFF001VOC.bed.gz	68ae1503a36a8e4e49d5435a7ef819da	NA	NA	NA
ENCFF000YMA	signal	K562	EFO:0002067	CTCF-human	female	hg19	https://www.encodeproject.org/files/ENCFF000YMA/@@download/ENCFF000YMA.bigWig	6509b380b70220484f8b6da053779d34	NA	NA	NA
ENCFF001VMZ	peaks	K562	EFO:0002067	CTCF-human	female	hg19	https://www.encodeproject.org/files/ENCFF001VMZ/@@download/ENCFF001VMZ.bed.gz	e3fee0039ab77f91306e2853aafa3005	NA	NA	NA
ENCFF000WTA	signal	H1-hESC	EFO:0003042	Control-human	male	hg19	https://www.encodeproject.org/files/ENCFF000WTA/@@download/ENCFF000WTA.bigWig	427e2ef594455f2d2d9b0dcb665d7af4	NA	NA	NA
ENCFF000RSD	signal	H1-hESC	EFO:0003042	CTCF-human	male	hg19	https://www.encodeproject.org/files/ENCFF000RSD/@@download/ENCFF000RSD.bigWig	b22bd7d64bd459f3fd07ac0202fa48fd	NA	NA	NA
ENCFF001USS	peaks	H1-hESC	EFO:0003042	CTCF-human	male	hg19	https://www.encodeproject.org/files/ENCFF001USS/@@download/ENCFF001USS.bed.gz	f184dbeabc74f58f3dcf39b997556962	NA	NA	NA
ENCFF000RSI	signal	H1-hESC	EFO:0003042	POLR2A-human	male	hg19	https://www.encodeproject.org/files/ENCFF000RSI/@@download/ENCFF000RSI.bigWig	9e81c4b450c321317f715180a6c34f9f	NA	NA	NA
ENCFF001UST	peaks	H1-hESC	EFO:0003042	POLR2A-human	male	hg19	https://www.encodeproject.org/files/ENCFF001UST/@@download/ENCFF001UST.bed.gz	9574fdb9b41b1a550abb70dc98e89964	NA	NA	NA
ENCFF000OSJ	raw signal	H1-hESC	EFO:0003042	Control-human	male	hg19	https://www.encodeproject.org/files/ENCFF000OSJ/@@download/ENCFF000OSJ.bigWig	cba46c9f3b607d95e5b56c7fd4181bd0	NA	1	1
ENCFF000OSK	raw signal	H1-hESC	EFO:0003042	Control-human	male	hg19	https://www.encodeproject.org/files/ENCFF000OSK/@@download/ENCFF000OSK.bigWig	4ea2ddb5d1165e50893d8b33bd40e055	NA	1	2
ENCFF000ONO	raw signal	H1-hESC	EFO:0003042	CTCF-human	male	hg19	https://www.encodeproject.org/files/ENCFF000ONO/@@download/ENCFF000ONO.bigWig	5d0efb3187d5e1808c35fe0d38be2a7f	NA	1	1
ENCFF000ONQ	raw signal	H1-hESC	EFO:0003042	CTCF-human	male	hg19	https://www.encodeproject.org/files/ENCFF000ONQ/@@download/ENCFF000ONQ.bigWig	7b8da3a60d4c81f9883b07f17aed766a	NA	1	2
ENCFF001UBA	peaks	H1-hESC	EFO:0003042	CTCF-human	male	hg19	https://www.encodeproject.org/files/ENCFF001UBA/@@download/ENCFF001UBA.bed.gz	a617e93bd27850429c75bce1bd4d6c01	NA	1	1
ENCFF001UBB	peaks	H1-hESC	EFO:0003042	CTCF-human	male	hg19	https://www.encodeproject.org/files/ENCFF001UBB/@@download/ENCFF001UBB.bed.gz	972e387e912e4447b384169e691558a8	NA	1	2
ENCFF000OQR	raw signal	H1-hESC	EFO:0003042	EP300-human	male	hg19	https://www.encodeproject.org/files/ENCFF000OQR/@@download/ENCFF000OQR.bigWig	ab9ccf0a469d299d9d370f8cdad5ece9	NA	1	1
ENCFF000OQS	raw signal	H1-hESC	EFO:0003042	EP300-human	male	hg19	https://www.encodeproject.org/files/ENCFF000OQS/@@download/ENCFF000OQS.bigWig	7ff1784899dec66226d8047592f771f8	NA	1	2
ENCFF001UBU	peaks	H1-hESC	EFO:0003042	EP300-human	male	hg19	https://www.encodeproject.org/files/ENCFF001UBU/@@download/ENCFF001UBU.bed.gz	d284a8140197ac9ea2728ccd7d3630fe	NA	1	1
ENCFF001UBV	peaks	H1-hESC	EFO:0003042	EP300-human	male	hg19	https://www.encodeproject.org/files/ENCFF001UBV/@@download/ENCFF001UBV.bed.gz	a0d122a46d26b98be194f4ce99e00a0f	NA	1	2
ENCFF000ORH	raw signal	H1-hESC	EFO:0003042	POLR2A-human	male	hg19	https://www.encodeproject.org/files/ENCFF000ORH/@@download/ENCFF000ORH.bigWig	dcd36c05dd222e3fed9e0803ef1c2111	NA	1	1
ENCFF000ORI	raw signal	H1-hESC	EFO:0003042	POLR2A-human	male	hg19	https://www.encodeproject.org/files/ENCFF000ORI/@@download/ENCFF000ORI.bigWig	047fd95891cc9353cdee506969fb5aa1	NA	1	2
ENCFF001UBY	peaks	H1-hESC	EFO:0003042	POLR2A-human	male	hg19	https://www.encodeproject.org/files/ENCFF001UBY/@@download/ENCFF001UBY.bed.gz	207a27b3ac8c2efd9657c84c9b0f05a8	NA	1	1
ENCFF001UBZ	peaks	H1-hESC	EFO:0003042	POLR2A-human	male	hg19	https://www.encodeproject.org/files/ENCFF001UBZ/@@download/ENCFF001UBZ.bed.gz	a36dedbf942458f5b481cb7a38619b9a	NA	1	2
ENCFF000OSD	raw signal	H1-hESC	EFO:0003042	Control-human	male	hg19	https://www.encodeproject.org/files/ENCFF000OSD/@@download/ENCFF000OSD.bigWig	db114519e21400fce48a3ad7e0202286	NA	1	1
ENCFF000BYB	signal	K562	EFO:0002067	H3K4me3-human	female	hg19	https://www.encodeproject.org/files/ENCFF000BYB/@@download/ENCFF000BYB.bigWig	96646e11fb2f33384ca6d625eb8cc03b	NA	NA	NA
ENCFF001SZJ	peaks	K562	EFO:0002067	H3K4me3-human	female	hg19	https://www.encodeproject.org/files/ENCFF001SZJ/@@download/ENCFF001SZJ.bed.gz	34876fa055af19a8b56f8445ceb26a36	NA	NA	NA
ENCFF000ARJ	signal	GM12878	EFO:0002784	CTCF-human	female	hg19	https://www.encodeproject.org/files/ENCFF000ARJ/@@download/ENCFF000ARJ.bigWig	9bfe3dff371df0ee25af4f8bff093556	NA	NA	NA
ENCFF001SUB	peaks	GM12878	EFO:0002784	CTCF-human	female	hg19	https://www.encodeproject.org/files/ENCFF001SUB/@@download/ENCFF001SUB.bed.gz	e626948d9674dc6187dc88445178cff3	NA	NA	NA
ENCFF000BXQ	signal	K562	EFO:0002067	H3K4me1-human	female	hg19	https://www.encodeproject.org/files/ENCFF000BXQ/@@download/ENCFF000BXQ.bigWig	00b5f5a38c21988b740ea4bfc626cde6	NA	NA	NA
ENCFF001SZH	peaks	K562	EFO:0002067	H3K4me1-human	female	hg19	https://www.encodeproject.org/files/ENCFF001SZH/@@download/ENCFF001SZH.bed.gz	ef796f37e3a2e89324d619051700577b	NA	NA	NA
ENCFF000AWE	signal	H1-hESC	EFO:0003042	H3K9me3-human	male	hg19	https://www.encodeproject.org/files/ENCFF000AWE/@@download/ENCFF000AWE.bigWig	b3c13cd56ff63c8843ad11dbccc1a225	NA	NA	NA
ENCFF001SUW	peaks	H1-hESC	EFO:0003042	H3K9me3-human	male	hg19	https://www.encodeproject.org/files/ENCFF001SUW/@@download/ENCFF001SUW.bed.gz	c6fea42d0a92ec055af4cb53c89b5ad3	NA	NA	NA
ENCFF000BEW	signal	HepG2	EFO:0001187	H3K9me3-human	male	hg19	https://www.encodeproject.org/files/ENCFF000BEW/@@download/ENCFF000BEW.bigWig	bc6ab7ea487edea5d534ab2ada591c34	NA	NA	NA
ENCFF001SWJ	peaks	HepG2	EFO:0001187	H3K9me3-human	male	hg19	https://www.encodeproject.org/files/ENCFF001SWJ/@@download/ENCFF001SWJ.bed.gz	e80e36eb2c7832f79280108afbf353d6	NA	NA	NA
ENCFF000BGB	signal	HepG2	EFO:0001187	H3K4me3-human	male	hg19	https://www.encodeproject.org/files/ENCFF000BGB/@@download/ENCFF000BGB.bigWig	a4c0451cf4407fea411de8120e75bc8d	NA	NA	NA
ENCFF001SWO	peaks	HepG2	EFO:0001187	H3K4me3-human	male	hg19	https://www.encodeproject.org/files/ENCFF001SWO/@@download/ENCFF001SWO.bed.gz	ceeb657a9ca9a24a82d6cf1649fe2c81	NA	NA	NA
ENCFF000BFJ	signal	HepG2	EFO:0001187	H3K27me3-human	male	hg19	https://www.encodeproject.org/files/ENCFF000BFJ/@@download/ENCFF000BFJ.bigWig	7e3f35d807be8e1306517234552cd2fe	NA	NA	NA
ENCFF001SWL	peaks	HepG2	EFO:0001187	H3K27me3-human	male	hg19	https://www.encodeproject.org/files/ENCFF001SWL/@@download/ENCFF001SWL.bed.gz	239c8b15f6044debb345dff3cfbca614	NA	NA	NA
ENCFF000AXO	signal	H1-hESC	EFO:0003042	H3K4me3-human	male	hg19	https://www.encodeproject.org/files/ENCFF000AXO/@@download/ENCFF000AXO.bigWig	98d1150a5ce3e5aa17bb55c7a2fd2aa3	NA	NA	NA
